Unique ID,Date,URL,Page title,Lang,What's wrong,Details,Tags,Info exists,Actionable,PII
05/20-0020,"11 May, 2020 13:26",,Symptoms,EN,The answer I need is missing,You don't answer what is covid-19? Other than a new disease.,What is covid,,checked,
05/20-0021,"11 May, 2020 15:56",,Prevention+risks,EN,The answer I need is missing,Procedure for laundering Covid contaminated bedding,Cleaning,no,,
05/20-0022,"11 May, 2020 16:22",,Symptoms,EN,The answer I need is missing,"I want to know if I have one of the coronavirus symptoms such as muscle pain, what pain med should I take?",Treatment,,checked,
05/20-0023,"11 May, 2020 16:26",,Prevention+risks,EN,The answer I need is missing,if I live on a farm by myself and am in self isolation can I go around my farm,Quarantine and isolation,,checked,
05/20-0024,"11 May, 2020 16:30",,Symptoms,FR,,je veux savoir combien de temps a ce moment pour recevoir un resultat de test covid19... pour ma région géographique.... La ligne covid 19 ne peut dire et le temps metionner de l hopital est fautif.....C est très frustrant et est ce que mon test a bien ete recu et fait?????????????,Testing,,checked,
05/20-0025,"11 May, 2020 16:32",,Symptoms,FR,The answer I need is missing,"J'aimerais avoir les coordonnées téléphoniques car a la demande de CHUS, on me demande d'aller passer le test pour la covid vu mes symptômes",Testing,,checked,
05/20-0026,"11 May, 2020 16:36",,Prevention+risks,EN,The answer I need is missing,"mental health portal URL just given by minister of health, no whereto be found!",Mental health,,,
05/20-0027,"11 May, 2020 16:40",,Symptoms,FR,I’m not in the right place,Jaimerais savoir pour le co voiturage..... dois je avoir mon passager en arriere ou il peut etre assis a cote moi,"Permissible activities,Carpool",,checked,
05/20-0028,"11 May, 2020 16:44",,Symptoms,EN,The answer I need is missing,What is the coronavirus?,What is covid,yes,checked,
05/20-0029,"11 May, 2020 16:56",,Symptoms,EN,Other reason,So when are yall going to roll out the mark?,Feedback unclear,,checked,
05/20-0031,"11 May, 2020 17:25",,Symptoms,EN,The answer I need is missing,how to treat myself at home?,Treatment,yes,checked,
05/20-0032,"11 May, 2020 17:42",,Symptoms,EN,Other reason,"The list of symptoms doesn’t include any of the new ones I’ve been hearing about (loss of smell/taste, purple rash, etc).",Symptoms,,checked,
05/20-0034,"11 May, 2020 18:16",,Prevention+risks,EN,The answer I need is missing,"If you are for example walking down a hallway and you cant maintain the 2 meters distance, is there a time limit for when you need to worry about possibly becoming infected",Avoid infection,,checked,
05/20-0035,"11 May, 2020 18:30",,Prevention+risks,EN,The answer I need is missing,Are we able to visit immediate family if physical distancing is maintained and group size is less than 10 people?,"Permissible activities,Social contact",,checked,
05/20-0036,"11 May, 2020 18:49",,Prevention+risks,EN,The answer I need is missing,"If a company has a confirmed case of COVID-19, do employees working there have a right to not got to work for safety reasons?",Workplace,,,
05/20-0037,"11 May, 2020 18:56",,Symptoms,FR,The answer I need is missing,Enfant ayant urticaire sur bras quoi faire ?,Treatment,,,
05/20-0038,"11 May, 2020 19:04",,Symptoms,EN,,I have symptoms of severe common cold ?,Symptoms,,,
05/20-0039,"11 May, 2020 19:07",,Symptoms,FR,Other reason,endroit pour passer le test a drummondville,Testing,,checked,
05/20-0040,"11 May, 2020 19:11",,Symptoms,EN,,Have fever for four days How to take it down,Treatment,,checked,
05/20-0041,"11 May, 2020 19:15",,Prevention+risks,EN,The answer I need is missing,"If daycares are closed, how can my neighbor still be looking after 3 preschoolers? Isn’t that a health risk to her and the children?","Permissible activities,Childcare",,,
05/20-0042,"11 May, 2020 19:15",,Symptoms,EN,The answer I need is missing,why is there not information for severe symptoms. Directing the general public to call their health care provider for suggestions to relieve symptoms seems like a time waster when acute symptoms require acute treatment -- like 911 or presentation for urgent assessment like an urgent care or ER/ED,Symptoms,,,
05/20-0043,"11 May, 2020 19:30",,Symptoms,EN,The answer I need is missing,I have the runs (flu). It's almost a liquid.,Feedback unclear,,,
05/20-0044,"11 May, 2020 20:02",,Prevention+risks,FR,The answer I need is missing,ma conjointe a été teste positif le 6 avril .Cela fait 4 test qui sont négatifs mais mon employeur refuse que je retourne travailler car j ai pas passe de test,Workplace,,,
05/20-0045,"11 May, 2020 20:28",,Prevention+risks,EN,,How do you report someone it quarantining after being out of the country,Report rule breaking,,,
05/20-0046,"11 May, 2020 20:31",,Symptoms,EN,,I'm working in Louisiana State if I have A test before and is Negative no Covid 19 on my blood system and I FLy back to Canada do I still need to be in quarantine for 14 days,Travel from outside Canada,,,
05/20-0047,"11 May, 2020 20:47",,Symptoms,FR,The answer I need is missing,"Est-ce qu'il est possible de passer un test pour savoir si on a eu le covid, pour être en mesure de retourner au travail sans avoir peur de l'attrapper",Workplace,,,
05/20-0051,"11 May, 2020 21:19",,Symptoms,EN,The information isn’t clear,I would please like to know what the symtem s are for the virus please,Symptoms,,,
05/20-0052,"11 May, 2020 21:19",,Symptoms,EN,,I need to apply for the Canada Emergency Student Benefit.,Financial support,,,
05/20-0054,"11 May, 2020 21:32",,Symptoms,FR,Other reason,"Ma tempéreture corporelle monte et redescend depuis 2 jours et j'ai ma l aux membres mais plus aux jambes,Je tousse et j'ai comme une infection dans le nez et aux parties intimesça pique.Donc je veux savoir si mes symptômes pourrait être le coronavirus.",Symptoms,,,
05/20-0056,"11 May, 2020 21:55",,Prevention+risks,EN,,"My daughter is moving into her first appartment may 31st. She needs help moving in furniture and boxes! Is there any exemption to this, we don't want to get a fine of $1000","Permissible activities,Moving",,,
05/20-0057,"11 May, 2020 22:05",,Symptoms,FR,Other reason,Es til normal que le temps d avoir le resultat du test prend plus que 72h quand il te dise entre 48h et 72h,Testing,,,
05/20-0058,"11 May, 2020 22:18",,Symptoms,FR,The answer I need is missing,Une personne qui a le covid-19 combien de jours était t'elle contagieuse avant les symptômes,Contagious,,,
05/20-0059,"11 May, 2020 22:25",,Symptoms,FR,The answer I need is missing,Quand on travail et qu'on met notre vie en danger il y a un revenu de 100$ /sem je veux m'inscrire merci .Je suis chauffeur d autobus scolaire,Feedback unclear,,checked,
05/20-0060,"11 May, 2020 22:33",,Prevention+risks,EN,The answer I need is missing,If I have tested positive and finished my isolation period will I be able to get someone else sick.,Contagious,,,
05/20-0061,"11 May, 2020 22:53",,Prevention+risks,EN,The answer I need is missing,how long will cover live on paper and cardboard,Virus survival,,,
05/20-0062,"11 May, 2020 22:55",,Prevention+risks,EN,The answer I need is missing,I am wondering if a person should stay home after their symptoms of a cold (non-confirmed COVID-19) for 14 additional days? What is the risk of being out in the community immediately after symptoms subside?,Contagious,,,
05/20-0064,"11 May, 2020 23:28",,Prevention+risks,EN,The answer I need is missing,"I hear people talking about being a ""covid carrier"" what does that mean?","Terminology,Covid carrier",,,
05/20-0065,"11 May, 2020 23:46",,Prevention+risks,FR,The answer I need is missing,"Bonsoir j’ai essayé à plusieurs reprise de trouvé une réponse à ma situation. Tous n’a aucune idée, car ma situation est pour la santé public. ma question: est-ce obligatoire de déclaré à mon employeur no.1 que j’ai un emploi à l’hôpital employeur no.2? est-ce obligatoire pour la santé public?",Workplace,,,
05/20-0066,"12 May, 2020 00:18",,Symptoms,EN,,application form,Feedback unclear,,,
05/20-0067,"12 May, 2020 00:34",,Prevention+risks,EN,The answer I need is missing,Do we need to be concerned with people dropping light cigarette butts over their balcony and it falling onto our patio,Transmission,,,
05/20-0069,"12 May, 2020 01:11",,Prevention+risks,FR,,"séjour de 7 jours en milieux hospitalier pour une opération, isolation???",Quarantine and isolation,,checked,
05/20-0071,"12 May, 2020 02:21",,Prevention+risks,EN,The answer I need is missing,Can I visit unrelated friends in their home?,No details,,,
05/20-0072,"12 May, 2020 02:59",,Symptoms,FR,,Je suis de Québec est ce que je peux aller visiter mon frère à terrebonne pour2 jours,"Permissible activities,Social contact",,,
05/20-0073,"12 May, 2020 03:07",,Symptoms,EN,,All the symptoms,Symptoms,,,
05/20-0074,"12 May, 2020 03:33",,Symptoms,EN,The information isn’t clear,Are there other symptoms other than the ones listed for covid19,Symptoms,,,
05/20-0075,"12 May, 2020 03:48",,Prevention+risks,EN,,Just want to know when people can see their grandchildren,"Permissible activities,Social contact",,,
05/20-0076,"12 May, 2020 03:53",,Symptoms,EN,Other reason,When I can return back to work after get covid test negative?,Workplace,,,
05/20-0077,"12 May, 2020 04:32",,Prevention+risks,EN,Other reason,Symptoms if I might have Covid-19! I have low immune system as well as heart problems.,Symptoms,,,
05/20-0078,"12 May, 2020 04:43",,Prevention+risks,FR,The answer I need is missing,"Où, comment puis-je obtenir réponse à une question très précise : Le Coronavirus peut-il se transmettre sexuellement lors de : - baisers - cunnilingus - fellation par exemple... ?",Transmission,,,
05/20-0079,"12 May, 2020 04:54",,Symptoms,EN,The answer I need is missing,If your sense of smell is gone- isn’t that a sign something is wrong? You,Symptoms,,,
05/20-0080,"12 May, 2020 05:28",,Symptoms,EN,The information isn’t clear,"Too vague, wishing to capture all? I have no contact with anyone, but sore throat, mucus, fever 100F, stomach upset, bad headache, trouble breathing, pain all over, but thanks to COVID-19 no asthma injections (severe asthmatic), and no ketamine infusions for pain. GP & Resperoligist hiding.",Symptoms,,,
05/20-0081,"12 May, 2020 07:07",,Prevention+risks,EN,The answer I need is missing,We have wedding event on June 26. I know 50 persons are allowed in gathering but how it will work ? I need detail. Also outside catering is allowed or not...,"Permissible activities,Wedding",,,
05/20-0082,"12 May, 2020 08:28",,Prevention+risks,EN,Other reason,I want to send masks to Canada from Turkey. But I need more details regarding your standards. I've seen the American flag on some standards and need the spec for it. Can you help?,PPE,,,
05/20-0085,"12 May, 2020 11:47",,Symptoms,EN,,"I was looking for things to do IF you get/have the virus....you know, bed rest, drink fluids etc","Treatment,Treating at home",,,
05/20-0088,"12 May, 2020 09:43",,Prevention+risks,EN,The answer I need is missing,How long does the coronavirus life on coin?,Virus survival,,,
05/20-0089,"12 May, 2020 10:40",,Symptoms,EN,,Antibiotics,"Treatment,Antibiotics",,,
05/20-0090,"12 May, 2020 10:43",,Prevention+risks,EN,,how long does Covid-19 last on cardboard?,Virus survival,,,
05/20-0092,"12 May, 2020 11:00",,Symptoms,EN,The answer I need is missing,"If you become ill with just a normal flu, Does the 14 day precaution isolation period begin after you are symptom free?",Quarantine and isolation,,,
05/20-0093,"11 May, 2020 18:22",,Symptoms,EN,The answer I need is missing,how long is a person contagious prior to symptoms? you only talk about the incubation period. thank you,Contagious,,,
05/20-0096,"11 May, 2020 21:37",,Symptoms,EN,The answer I need is missing,How long to isolate after being diagnosed. Important for co-workers to understand the protocol,Quarantine and isolation,,,
05/20-0102,"12 May, 2020 02:34",,Symptoms,EN,The answer I need is missing,I was looking for the stages and there not here,Course of illness,,,
05/20-0104,"12 May, 2020 10:23",,Symptoms,EN,The answer I need is missing,what is the medical advice for canadians diagnosed with covid? is the use of ice the counter medications to treat symptoms reconsider?,"Treatment,Treating at home",,,
05/20-0105,"12 May, 2020 12:25",,Symptoms,EN,The answer I need is missing,"Not all of the symptoms are mentioned, ie. muscle pain.",Symptoms,,,
05/20-0107,"12 May, 2020 12:46",,Symptoms,FR,Other reason,comment et ou pour les clinique de depistage?,Testing,,,
05/20-0108,"12 May, 2020 13:22",,Symptoms,FR,I’m not in the right place,Je voudrais savoir quel site je dois visiter pour savoir si les frontières sont ouvertes pour l'Espagne & France aux voyageurs internationaux,Travel from outside Canada,,,
05/20-0109,"12 May, 2020 13:02",,Symptoms,FR,,la fievre apparait combien de temps apres la toux,Symptoms,,,
05/20-0111,"12 May, 2020 14:30",,Symptoms,EN,,What temperature in Fahrenheit should I be concerned that it could be covid 19,Symptoms,,,
05/20-0113,"12 May, 2020 14:46",,Symptoms,FR,The answer I need is missing,"Ont as ete malade a la mie fevrier, ma conjointe a ete voire son medecin et lui as dit qu'elle avait une pneumonie et moi tomber malade le 15 fevrier (ce qui semblais une grippe) partie en Republique Dominican le dimanche et la bas jai eu une fievre et meme perdus le sens du gouter pour un jour ou 2",Symptoms,,,
05/20-0114,"12 May, 2020 14:47",,Symptoms,EN,The answer I need is missing,"Head to toe sandpaper rash, stomach ache, fatigued. No fever initially, then low grade fever. 7 years old.",Symptoms,,,
05/20-0115,"12 May, 2020 15:07",,Symptoms,EN,The information isn’t clear,mor symptoms not anof clear,Symptoms,,,
05/20-0116,"12 May, 2020 15:16",,Symptoms,EN,The answer I need is missing,"I would like to know how COVID-19 progresses in a given individual. Are the symptoms constant and do they worsen, or do they come and go?",Course of illness,,,
05/20-0117,"12 May, 2020 16:04",,Symptoms,EN,,If the nasal test is taken today when will I know the results?,Testing,,,
05/20-0118,"12 May, 2020 15:52",,Prevention+risks,FR,The answer I need is missing,J'aimerais savoir s'il est possible de faire du co-voiturage d'une durée de 1h30 environ,"Permissible activities,Carpool",,,
05/20-0119,"12 May, 2020 15:37",,Symptoms,FR,The answer I need is missing,Je suis inquiète de mes symptômes depuis le debut ma montre apple whach arrete pas de me dire que je fais de la fibrillation auculaire est ce que sais un symthome covid19 je suis positive depuis le 2 mai,Symptoms,,,
05/20-0122,"12 May, 2020 15:30",,Symptoms,EN,,I am trying to get the results of my coved-19 test done last week! Neither the Health Unit or I can find the link to results!! I have tried coved-19.ontario.ca and there is NOT a spot there!! Can you please help,Testing,,,
05/20-0123,"12 May, 2020 12:13",,Prevention+risks,EN,The answer I need is missing,What about paperwork that is passed from a traveler to another who is expected to handle the paperwork plus touching pen and keyboard.,Transmission,,,
05/20-0124,"12 May, 2020 12:44",,Prevention+risks,EN,Other reason,I have a roommate that is showing signs,Transmission,,,
05/20-0126,"12 May, 2020 16:13",,Symptoms,EN,,loose stools,Symptoms,,,
05/20-0127,"12 May, 2020 16:13",,Prevention+risks,EN,The answer I need is missing,how does a covid sick person manage the disease?????,Treatment,,,
05/20-0128,"12 May, 2020 16:19",,Prevention+risks,EN,,how do asymtomatic people spread covid 19,Transmission,,,
05/20-0129,"12 May, 2020 16:28",,Symptoms,FR,I’m not in the right place,J'ai droit à agence du revenu de canada a 500.00 . Car je suis à risque je suis asthmatique et m poc . J'ai besoin de savoir si jai besoin d une cessation d emploi . Si oui quest que mon employeur doit écrire sur ma cessation. J'ai mon papier de médecin en main,Financial support,,,
05/20-0130,"12 May, 2020 16:32",,Symptoms,EN,The answer I need is missing,"Can COVID-19 be contracted twice? If you have symptoms and test positive, isolate for 14 days and then begin living with people again, can you contract COVID-19 from someone else a second time?",Immunity,,,
05/20-0131,"12 May, 2020 16:52",,Prevention+risks,FR,The answer I need is missing,Peut-on embarquer en auto avec une personne qui n'habite pas à la même adresse pour aller faire l'épicerie...???,"Permissible activities,Carpool",,,
05/20-0132,"12 May, 2020 17:03",,Symptoms,EN,The answer I need is missing,Chest pain( maybe angina) sweating Dizzy,Symptoms,,,
05/20-0133,"12 May, 2020 17:04",,Symptoms,EN,Other reason,Mucus type of a caugh,Symptoms,,,
05/20-0134,"12 May, 2020 17:20",,Prevention+risks,FR,The answer I need is missing,Est-ce que les masques n-95 peuvent nous protéger des virus?,PPE,,,
05/20-0135,"12 May, 2020 17:27",,Prevention+risks,EN,The answer I need is missing,"After testing positive and remaining in self-isolation for 14 days, should a second test be done before the individual is allowed back at the workplace if they are an essential worker?",Workplace,,,
05/20-0137,"12 May, 2020 17:41",,Prevention+risks,EN,Other reason,"If we want to conduct temperature check for customer, what PPE is necessary?",Workplace,,,
05/20-0138,"12 May, 2020 17:50",,Symptoms,EN,The answer I need is missing,The temperature is missing,Symptoms,,,
05/20-0139,"12 May, 2020 17:51",,Symptoms,EN,The answer I need is missing,Temperature consider a fever,Symptoms,,,
05/20-0140,"12 May, 2020 17:52",,Prevention+risks,FR,The answer I need is missing,Est-ce que la circulation entre l’Ontario et le Québec est permise?,Travel within Canada,,,
05/20-0141,"12 May, 2020 17:53",,Prevention+risks,EN,The information isn’t clear,Wanting to know if flying from vancouver to ottawa in June has any restrictions,Travel within Canada,,,
05/20-0142,"12 May, 2020 18:12",,Prevention+risks,FR,The answer I need is missing,"Bonjour , j'ai un employé qui doit aller avec son pere et son frere a montreal pour déménager les biens de la résidence pour ainés ou demeurait sa grand mere qui est décédée....quelles sont les précautions a prendre en tant qu'employeur et dois je obtenir certaines informations de sa part ....",Workplace,,,
05/20-0143,"12 May, 2020 18:31",,Symptoms,FR,The answer I need is missing,Je recherche de l'information sur le covoiturage en période de covid-19,"Permissible activities,Carpool",,,
05/20-0144,"12 May, 2020 18:36",,Symptoms,FR,,ou aller pour tester pour le covid,Testing,,,
05/20-0145,"12 May, 2020 18:50",,Symptoms,EN,,Temperatures are not listed on the symptoms section?,Symptoms,,,
05/20-0146,"12 May, 2020 18:57",,Symptoms,FR,,ou puis-je aller pour passer le test?,Testing,,,
05/20-0147,"12 May, 2020 19:03",,Prevention+risks,FR,,"Où puis-je aller pour un test de dépistage, je demeure à Ville St-Laurent.",Testing,,,
05/20-0148,"12 May, 2020 19:14",,Symptoms,FR,The answer I need is missing,adresse des sites de depistage,Testing,,,
05/20-0149,"12 May, 2020 19:27",,Prevention+risks,EN,,Who to contact to report breaking isolation rules,Report rule breaking,,,
05/20-0150,"12 May, 2020 19:41",,Symptoms,FR,,je veux parler à quelqu'un,Contact info,,,
05/20-0151,"12 May, 2020 19:51",,Symptoms,EN,,I got the CERB payment in April but not this May,Financial support,,,
05/20-0152,"12 May, 2020 19:52",,Symptoms,EN,The answer I need is missing,I got the payment for CERB in April but not this May,Financial support,,,
05/20-0153,"12 May, 2020 19:58",,Symptoms,EN,The answer I need is missing,Does this start slowly in lungs producing small changes over time?,Course of illness,,,
05/20-0154,"12 May, 2020 20:02",,Prevention+risks,EN,The information isn’t clear,I want to know if I have to take any extra precautions if I want to make a home-cooked meal for a front line worker,Avoid infection,,,
05/20-0155,"12 May, 2020 20:04",,Prevention+risks,EN,Other reason,Can I mow the lawn and do gardening? Can I finish my basement?,"gardening,Permissible activities",,,
05/20-0156,"12 May, 2020 20:07",,Symptoms,EN,Other reason,Looking for a progression of symptoms leading up to full blown covid,Symptoms,,,
05/20-0157,"12 May, 2020 20:19",,Symptoms,FR,,retour au travail,Workplace,,,
05/20-0158,"12 May, 2020 20:43",,Prevention+risks,EN,,students financial support,Financial support,,,
05/20-0159,"12 May, 2020 20:44",,Symptoms,EN,Other reason,Its pretty good.,Feedback unclear,,,
05/20-0160,"12 May, 2020 20:52",,Prevention+risks,FR,,Est ce que je peux reprendre les ménages dans les maisons privée?,"Permissible activities,Cleaning other people's house",,,
05/20-0161,"12 May, 2020 20:58",,Prevention+risks,FR,The answer I need is missing,"Après avoir passé un test négatif au Covid 19, est ce que je dois être quand même en quarantaine pour 14 jours?",Quarantine and isolation,,,
05/20-0162,"12 May, 2020 21:07",,Prevention+risks,EN,,I know if someone not isolating and he just got back from equador less than a wk ago. What should I do?,Report rule breaking,,,
05/20-0163,"12 May, 2020 21:18",,Symptoms,EN,Other reason,What can I do to treat myself with covid,Treatment,,,
05/20-0165,"12 May, 2020 21:18",,Symptoms,FR,The answer I need is missing,Est-ce qu’une personne testée positive et qui dit n’avoir aucun symptôme peut décéder quand même?,Course of illness,,,
05/20-0166,"12 May, 2020 21:20",,Prevention+risks,EN,,"Once you are tested, how long do you need to wait for results and if NOT infected, can you be with loved ones (who are also NOT infected) the next day?",Testing,,,
05/20-0170,"12 May, 2020 22:09",,Symptoms,EN,,I just getting dizzy spells - like Vertigo !,Symptoms,,,
05/20-0171,"12 May, 2020 22:22",,Symptoms,FR,The answer I need is missing,Quand dois je consulter Actuellement maux de gorge perte d énergie fatigue corporelle leger écoulement nasal Je travail dans une école,Symptoms,,,
05/20-0172,"12 May, 2020 22:26",,Symptoms,FR,The answer I need is missing,Quand un employée est testée positif est ce que les autres employers qu’il a fréquenter doit s’auto isoler ?,Workplace,,,
05/20-0173,"12 May, 2020 22:27",,Symptoms,EN,The answer I need is missing,"I was tested and diagnosed with covid 19 in March and now I have recovered. I am abroad and will need to travel back to Canada, what are the procedures for this situation?",Travel from outside Canada,,,
05/20-0175,"12 May, 2020 22:39",,Symptoms,FR,,combien de test négatif est nécessaire pour être certain d'être négatif apres le civid-19,Testing,,,
05/20-0176,"12 May, 2020 22:41",,Symptoms,EN,,Looking for return to work guidelines,Workplace,,,
05/20-0177,"12 May, 2020 22:49",,Symptoms,FR,The answer I need is missing,Faut il avoir tout les symptomes pour etre atteint du covid 19,Symptoms,,,
05/20-0178,"12 May, 2020 23:31",,Prevention+risks,EN,The answer I need is missing,In a retirement home during isolation (no sickness) do 2 close friends allowed to be together,"Permissible activities,Social contact",,,
05/20-0179,"12 May, 2020 23:48",,Symptoms,FR,,Mon larron ma retirer du travail pour symptôme de gripe. Jai téléphoner pour savoir quoi fair. Et jatyend toujours un retour dapelle. Esse que je va travailler demain meme si jai las de nouvelle?????,Feedback unclear,,,
05/20-0180,"12 May, 2020 23:51",,Prevention+risks,EN,,Elderly,Feedback unclear,,,
05/20-0181,"12 May, 2020 23:51",,Symptoms,FR,The answer I need is missing,Il me semble que les aînés pouvaient aller garder leurs petits enfants. Je crois avoir entendu cela. Pouvez vous confirmer,"Permissible activities,Looking after grand children",,,
05/20-0183,"13 May, 2020 00:13",,Prevention+risks,EN,The answer I need is missing,who can travel together in a car?,"Permissible activities,Carpool",,,
05/20-0184,"13 May, 2020 00:15",,Prevention+risks,EN,The information isn’t clear,The claim form (number 3) ????,Feedback unclear,,,
05/20-0185,"13 May, 2020 00:22",,Symptoms,FR,The answer I need is missing,Ou passer teste de dépistage,Testing,,,
05/20-0186,"13 May, 2020 01:19",,Prevention+risks,EN,The information isn’t clear,"My brother and I live with our 84yr old mother. Mom is in the high-risk group due to existing health issues like diabetes. Our sister lives outside our home and insists on visiting even though we have expressly asked her not to. Mom lets her visit because ""she's not sick"". How do we stop her?",Report rule breaking,,,
05/20-0188,"13 May, 2020 01:11",,Symptoms,FR,The answer I need is missing,Quelle est le tratament,Treatment,,,
05/20-0189,"13 May, 2020 01:54",,Symptoms,EN,The answer I need is missing,"If the vaccine is based on a live culture, some people will not be able to use it due to an allergic reaction. What should these people do?","Vaccine,Allergic reaction",,,
05/20-0190,"13 May, 2020 02:24",,Symptoms,EN,The answer I need is missing,If you quarantine for 14 days but still have symptoms at the end of 14 days how long do you continue to quarantine?,Quarantine and isolation,,,
05/20-0192,"13 May, 2020 03:15",,Symptoms,EN,Other reason,Question: When does a person who has COVID LOOSE THE ABILITY TO INFECT OTHERS? is it 10 days after onset of symptoms? Is it after all symptoms are gone and they are well? or do they continue to infect others for a long period of time?,Contagious,,,
05/20-0193,"13 May, 2020 03:33",,Symptoms,EN,The answer I need is missing,Treatment for hospital covid 19,Treatment,,,
05/20-0194,"13 May, 2020 03:34",,Symptoms,EN,The answer I need is missing,What is the treatment in the hospital?,Treatment,,,
05/20-0195,"13 May, 2020 04:15",,Symptoms,FR,The answer I need is missing,J’aimerais savoir si le fait de mettre de la crème hydratante après les nombreux lavages de main constitue une pellicule sur les mains qui peux faire en sorte d’attraper plus facilement le virus,Avoid infection,,,
05/20-0196,"13 May, 2020 05:47",,Prevention+risks,EN,,If I put a petition in my golf cart can I have a rider,"Permissible activities,Golf",,,
05/20-0197,"13 May, 2020 07:15",,Symptoms,EN,,"I have a general feeling of malaise - nausea, gas, bloating, cough which is normal due to hiatus hernia, difficulty breathing which is normal due to asthma & allergies",Symptoms,,,
05/20-0199,"13 May, 2020 09:46",,Prevention+risks,FR,The answer I need is missing,"que fait on exactement pour être prise en charge en arrivant a l’aéroport, ne peux aller ou je vis, personnes plus de 65 ans.",Travel from outside Canada,,,
05/20-0201,"13 May, 2020 10:41",,Symptoms,FR,The answer I need is missing,Test sérologique,Testing,no,,
05/20-0202,"13 May, 2020 10:46",,Prevention+risks,FR,The answer I need is missing,Est ce que 2 conjoints qui vivent séparément peuvent se voir ? Mon fils et sa compine respecte le.confinement maisnils on hâte de se voir est ce que c est accepté poir les relations de longue date pour des personnes qui ont respecté le confinement,"Permissible activities,Family relationships",,,
05/20-0203,"13 May, 2020 11:11",,Prevention+risks,FR,The answer I need is missing,"Ma conjointe (62) recevra 4 petit enfants plus 2 d'autres familles) pour faire les leçons, est-ce risqué de contacté le virus ou simplement proscrit?","Permissible activities,Looking after grand children",,,
05/20-0204,"13 May, 2020 11:23",,Symptoms,EN,The answer I need is missing,Can u tell me what coronavirus is,What is covid,,,
05/20-0205,"13 May, 2020 11:39",,Symptoms,EN,The answer I need is missing,what are the complications for adults,Symptoms,,,
05/20-0206,"13 May, 2020 11:54",,Symptoms,EN,,Symptoms all Conjunctivitis,Symptoms,,,
05/20-0208,"13 May, 2020 12:14",,Prevention+risks,FR,Other reason,Moi je vois ma fille depuis le debut de la covid 19 avec ses enfantset des fois je cuche chez eux.Je reste ds une cooperative de 55ans et plus.Hier on me dit que si je couche chez ma fille je dois me mettre en quanrentaine je pourrais plus sortir pour faire mon lavage et ni mettre mes vidanges pend,"Permissible activities,Family relationships",,,
