Ref Number,Date/time received,Page Title,Page URL,Y/N,What's wrong,Details,Topic,Personal info (Y/N),Notes,Blank,Test - auto-topic generator
05/20-0054,Mon May 11 2020 21:32:35 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,Other reason,"Ma tempéreture corporelle monte et redescend depuis 2 jours et j'ai ma l aux membres mais plus aux jambes,Je tousse et j'ai comme une infection dans le nez et aux parties intimesça pique.Donc je veux savoir si mes symptômes pourrait être le coronavirus.",Symptoms,,,,
05/20-0055,Mon May 11 2020 21:51:35 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,I’m not in the right place,,No details,,,,
05/20-0056,Mon May 11 2020 21:55:43 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,,"My daughter is moving into her first appartment may 31st. She needs help moving in furniture and boxes! Is there any exemption to this, we don't want to get a fine of $1000","Permissible activities, Moving",,,,
05/20-0057,Mon May 11 2020 22:05:16 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,Other reason,Es til normal que le temps d avoir le resultat du test prend plus que 72h quand il te dise entre 48h et 72h,Testing,,,,
05/20-0058,Mon May 11 2020 22:18:07 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,The answer I need is missing,Une personne qui a le covid-19 combien de jours était t'elle contagieuse avant les symptômes,Contagious,,,,
05/20-0059,Mon May 11 2020 22:25:05 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,The answer I need is missing,Quand on travail et qu'on met notre vie en danger il y a un revenu de 100$ /sem je veux m'inscrire merci .Je suis chauffeur d autobus scolaire,Feedback unclear,,,,
05/20-0060,Mon May 11 2020 22:33:04 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,If I have tested positive and finished my isolation period will I be able to get someone else sick.,Contagious,,,,
05/20-0061,Mon May 11 2020 22:53:51 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,how long will cover live on paper and cardboard,Virus survival,,,,
05/20-0062,Mon May 11 2020 22:55:56 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,I am wondering if a person should stay home after their symptoms of a cold (non-confirmed COVID-19) for 14 additional days? What is the risk of being out in the community immediately after symptoms subside?,Contagious,,,,
05/20-0063,Mon May 11 2020 23:02:29 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,,No details,,,,
05/20-0064,Mon May 11 2020 23:28:08 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,"I hear people talking about being a ""covid carrier"" what does that mean?",Terminology,,,,
05/20-0065,Mon May 11 2020 23:46:37 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,No,The answer I need is missing,"Bonsoir j’ai essayé à plusieurs reprise de trouvé une réponse à ma situation. Tous n’a aucune idée, car ma situation est pour la santé public. ma question: est-ce obligatoire de déclaré à mon employeur no.1 que j’ai un emploi à l’hôpital employeur no.2? est-ce obligatoire pour la santé public?",Workplaces,,,,
05/20-0066,Tue May 12 2020 00:18:21 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,,application form,Feedback unclear,,,,
05/20-0067,Tue May 12 2020 00:34:44 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,Do we need to be concerned with people dropping light cigarette butts over their balcony and it falling onto our patio,Transmission,,,,
05/20-0068,Tue May 12 2020 00:43:09 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,The answer I need is missing,,No details,,,,
05/20-0069,Tue May 12 2020 01:11:19 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,No,,"séjour de 7 jours en milieux hospitalier pour une opération, isolation???",Quarantine isolation self-isolation,,,,
05/20-0070,Tue May 12 2020 02:05:35 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The answer I need is missing,,No details,,,,
05/20-0071,Tue May 12 2020 02:21:32 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,Can I visit unrelated friends in their home?,No details,,,,
05/20-0072,Tue May 12 2020 02:59:03 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,,Je suis de Québec est ce que je peux aller visiter mon frère à terrebonne pour2 jours,"Permissible activities, Social contact",,,,
05/20-0073,Tue May 12 2020 03:07:41 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,,All the symptoms,Symptoms,,,,
05/20-0074,Tue May 12 2020 03:33:12 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The information isn’t clear,Are there other symptoms other than the ones listed for covid19,Symptoms,,,,
05/20-0075,Tue May 12 2020 03:48:57 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,,Just want to know when people can see their grandchildren,"Permissible activities, Social contact",,,,
05/20-0076,Tue May 12 2020 03:53:54 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,Other reason,When I can return back to work after get covid test negative?,Workplaces,,,,
05/20-0077,Tue May 12 2020 04:32:31 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,Other reason,Symptoms if I might have Covid-19! I have low immune system as well as heart problems.,Symptoms,,,,
05/20-0078,Tue May 12 2020 04:43:22 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,No,The answer I need is missing,"Où, comment puis-je obtenir réponse à une question très précise : Le Coronavirus peut-il se transmettre sexuellement lors de : - baisers - cunnilingus - fellation par exemple... ?",Transmission,,,,
05/20-0079,Tue May 12 2020 04:54:39 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The answer I need is missing,If your sense of smell is gone- isn’t that a sign something is wrong? You,Symptoms,,,,
05/20-0080,Tue May 12 2020 05:28:20 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The information isn’t clear,"Too vague, wishing to capture all? I have no contact with anyone, but sore throat, mucus, fever 100F, stomach upset, bad headache, trouble breathing, pain all over, but thanks to COVID-19 no asthma injections (severe asthmatic), and no ketamine infusions for pain. GP & Resperoligist hiding.",Symptoms,,,,
05/20-0081,Tue May 12 2020 07:07:05 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,We have wedding event on June 26. I know 50 persons are allowed in gathering but how it will work ? I need detail. Also outside catering is allowed or not...,"Permissible activities, Wedding",Yes,Personal information (email address) was included in email and has been removed.,,
05/20-0082,Tue May 12 2020 08:28:38 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,Other reason,I want to send masks to Canada from Turkey. But I need more details regarding your standards. I've seen the American flag on some standards and need the spec for it. Can you help?,PPE,,,,
05/20-0083,Tue May 12 2020 11:32:40 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The answer I need is missing,,No details,,,,
05/20-0084,Tue May 12 2020 11:45:02 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,I’m not in the right place,,No details,,,,
